## S95 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 7
## Verdict files scanned: 1
## Plan files scanned: 11
## Session .md files scanned (cited_in scope): 24
## Total edges (deduped): 61
## Edge types: anchored_in,carries_forward,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:95 -> gates:CF-S96-K-CSUB-R-EXTERNAL-CHANNEL-SCALE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-95/session-95-w1-workingpaper.md | match='### CF-S96-K-CSUB-R-EXTERNAL-CHANNEL-SCALE (CONDITIONAL — schedule only if a dow'
[EDGE:carries_forward] sessions:95 -> gates:CF-S96-HH1-HH2-INDEPENDENT-VERIFY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-95/session-95-w2-workingpaper.md | match='### CF-S96-HH1-HH2-INDEPENDENT-VERIFY — independent verify of the Inner-Fluctuat'
[EDGE:carries_forward] sessions:95 -> gates:CF-S96-EMERGENT-TIME-NORMALIZATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-95/session-95-w3-workingpaper.md | match='### CF-S96-EMERGENT-TIME-NORMALIZATION — pin the a(t) magnitude normalization (c'
[EDGE:carries_forward] sessions:95 -> gates:CF-S96-EPSILON-PIVOT-GREYBODY-POINT  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-95/session-95-w4-workingpaper.md | match='### CF-S96-EPSILON-PIVOT-GREYBODY-POINT — pin ε_pivot to collapse the greybody A'
[EDGE:carries_forward] sessions:95 -> gates:CF-S96-BAO-EXPERIMENT-SENSITIVITY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-95/session-95-w6-workingpaper.md | match='### CF-S96-BAO-EXPERIMENT-SENSITIVITY — complete the BAO two-speed forecast-vs-e'
[EDGE:carries_forward] sessions:95 -> gates:CF-S96-LQG-REGIME-II-STAGE-2-VERIFY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-95/session-95-w7-workingpaper.md | match='### CF-S96-LQG-REGIME-II-STAGE-2-VERIFY — Stage-2 two-agent cross-axis verify of'
[EDGE:anchored_in] gates:CF-S95-K-CSUB-R-RE-ANCHOR -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='CF-S95-K-CSUB-R-RE-ANCHOR: FAIL'
[EDGE:anchored_in] gates:CF-S95-VII-BE-TIER2-REANCHOR -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='CF-S95-VII-BE-TIER2-REANCHOR: PASS'
[EDGE:anchored_in] gates:TES-R1-FI-TRUNCATION-ROBUST -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='TES-R1-FI-TRUNCATION-ROBUST: FAIL'
[EDGE:anchored_in] gates:CF-S95-HK-1 -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='CF-S95-HK-1: PASS'
[EDGE:anchored_in] gates:S95-W2-2-EXHAUSTION-FALSIFIER -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W2-2-EXHAUSTION-FALSIFIER: PASS'
