## S96 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 8
## Verdict files scanned: 1
## Plan files scanned: 11
## Session .md files scanned (cited_in scope): 33
## Total edges (deduped): 107
## Edge types: anchored_in,carries_forward,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:96 -> gates:CF-S97-W1-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w1-workingpaper.md | match='### CF-S97-W1-1 — Assemble the physical-seconds `a(t)` trajectory'
[EDGE:carries_forward] sessions:96 -> gates:CF-S97-W2-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w2-workingpaper.md | match='### CF-S97-W2-1 — a₀/a₂-PV Mellin-s4 residue companion (test PV-cancellation in '
[EDGE:carries_forward] sessions:96 -> gates:CF-S97-W3-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w3-workingpaper.md | match='### CF-S97-W3-1 — N3LO equivalence-principle confirmation gate'
[EDGE:carries_forward] sessions:96 -> gates:CF-S97-W4-YUKAWA-FAMILY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w4-workingpaper.md | match='### CF-S97-W4-YUKAWA-FAMILY — parameter-free `D_K`-derived family/Yukawa structu'
[EDGE:carries_forward] sessions:96 -> gates:CF-S97-W4-BARYOGEN-SOURCE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w4-workingpaper.md | match='### CF-S97-W4-BARYOGEN-SOURCE — non-left-invariant / additional-fiber baryogenes'
[EDGE:carries_forward] sessions:96 -> gates:CF-W5-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w5-workingpaper.md | match='### CF-W5-1 — S96-GEOM-TAUINF-PETROV superseded-companion-row boilerplate touch-'
[EDGE:carries_forward] sessions:96 -> gates:CF-S97-FSIGMA8-FORECAST-REFETCH  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w6-workingpaper.md | match='### CF-S97-FSIGMA8-FORECAST-REFETCH — live DESI-5yr/Euclid f·σ₈(z) forecast-prec'
[EDGE:carries_forward] sessions:96 -> gates:CF-S97-D3-BF  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w7-workingpaper.md | match='### CF-S97-D3-BF — prior-predictive-range Bayes factor over the zero-parameter s'
[EDGE:carries_forward] sessions:96 -> gates:CF-S97-DK-DF-STAGE2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w8-workingpaper.md | match='### CF-S97-DK-DF-STAGE2 — §VII Stage-1-Candidate landing + Stage-2 cross-axis ve'
[EDGE:carries_forward] sessions:96 -> gates:CF-S97-OMDM-RHOVAC-PINS  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w8-workingpaper.md | match='### CF-S97-OMDM-RHOVAC-PINS — canonical promotion of two register/gate-sourced r'
[EDGE:anchored_in] gates:S96-CONSOL-HYGIENE-GATE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-CONSOL-HYGIENE-GATE: INFO'
