## S98 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 10 (+ 7 in workshops/)
## Total edges (deduped): 17
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:98:session-98-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-mack-synthesis.md | match='**Agent**: mack-cosmic-bridge (Cosmic Bridge)'
[EDGE:authored_by] data_provenance:98:session-98-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-98/session-98-mack-synthesis.md | match='session-98-mack-synthesis.md'
[EDGE:authored_by] gates:98:session-98-w1-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-w1-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:98:session-98-w2-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-w2-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:98:session-98-w2-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-w2-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:98:session-98-w2-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-w2-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:98:session-98-w3-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-w3-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:98:session-98-w3-workingpaper.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-w3-workingpaper.md | match='**Agent**: `dirac-antimatter-theorist` (cross-check axis: volovik-superfluid-uni'
[EDGE:authored_by] gates:98:session-98-w4-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-w4-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:98:session-98-w5-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-w5-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:98:session-98-w6-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-98/session-98-w6-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md | match='mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md | match='van-den-dungen (van-den-dungen-bridge-theorist)'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md | match='## Round 1 — mack'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md | match='## Round 1 — van-den-dungen'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md | match='## Round 2 — mack'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-98/workshops/s98-w1-oq3-within-channel-corr-sufficiency.md | match='## Round 2 — van-den-dungen'
