## S99 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 37 (+ 0 in workshops/)
## Total edges (deduped): 40
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:99:session-99-fermion-mass-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-fermion-mass-connes.md | match='**Author**: connes-ncg-theorist (Connes-NCG-Theorist, "Workhorse-NCG")'
[EDGE:authored_by] data_provenance:99:session-99-fermion-mass-connes.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-fermion-mass-connes.md | match='**Author**: connes-ncg-theorist (Connes-NCG-Theorist, "Workhorse-NCG")'
[EDGE:authored_by] gates:99:session-99-fermion-mass-hawking.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-fermion-mass-hawking.md | match='**Author**: hawking (Hawking-Theorist — KK-threshold corrections, semiclassical/'
[EDGE:authored_by] data_provenance:99:session-99-fermion-mass-hawking.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-fermion-mass-hawking.md | match='**Author**: hawking (Hawking-Theorist — KK-threshold corrections, semiclassical/'
[EDGE:authored_by] gates:99:session-99-litrev-dark-energy-mack.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litrev-dark-energy-mack.md | match='**Agent**: mack-cosmic-bridge (Katie Mack — Cosmic Bridge)'
[EDGE:authored_by] gates:99:session-99-litrev-dark-energy-sagan.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litrev-dark-energy-sagan.md | match='**Agent**: sagan-empiricist (Sagan)'
[EDGE:authored_by] gates:99:session-99-litrev-emergent-spacetime-phonon-first.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litrev-emergent-spacetime-phonon-first.md | match='**Agent**: phonon-first-cosmologist (phonon-first)'
[EDGE:authored_by] gates:99:session-99-litrev-emergent-spacetime-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litrev-emergent-spacetime-volovik.md | match='**Agent**: volovik-superfluid-universe-theorist (volovik)'
[EDGE:authored_by] gates:99:session-99-litrev-flatband-geometry-berry.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litrev-flatband-geometry-berry.md | match='**Agent**: berry-geometric-phase-theorist (Berry)'
[EDGE:authored_by] gates:99:session-99-litrev-flatband-geometry-landau.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litrev-flatband-geometry-landau.md | match='**Agent**: landau-condensed-matter-theorist (Landau)'
[EDGE:authored_by] gates:99:session-99-litrev-jwst-lrd-little-red-dots.md -> researchers:little-red-dots-jwst-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-99/session-99-litrev-jwst-lrd-little-red-dots.md | match='**Agent**: little-red-dots-jwst-analyst'
