## S99 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 4
## Verdict files scanned: 1
## Plan files scanned: 7
## Session .md files scanned (cited_in scope): 37
## Total edges (deduped): 15
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:99 -> gates:CF-S100-W1-SF54-MAPPING  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-99/session-99-w1-workingpaper.md | match='### CF-S100-W1-SF54-MAPPING — why the substrate post-fold expansion misses the S'
[EDGE:carries_forward] sessions:99 -> gates:CF-S100-W2-1-QEQ-DRIVE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-99/session-99-w2-workingpaper.md | match='### CF-S100-W2-1-QEQ-DRIVE — substrate-derived q_eq(H) drive for the unforced n='
[EDGE:carries_forward] sessions:99 -> gates:CF-S100-MD-NORMALIZATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-99/session-99-w3-workingpaper.md | match='### CF-S100-MD-NORMALIZATION — uniquely substrate-pin the m_D Dirac-Yukawa → bot'
[EDGE:anchored_in] gates:S99-W4-KAPPA-ALT-OBSERVABLE-SCAN -> sessions:99  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-99/s99_gate_verdicts.txt | match='S99-W4-KAPPA-ALT-OBSERVABLE-SCAN: FAIL'
[EDGE:anchored_in] gates:S99-W2-BBN-RELIEF -> sessions:99  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-99/s99_gate_verdicts.txt | match='S99-W2-BBN-RELIEF: FAIL'
[EDGE:anchored_in] gates:S99-W3-SEESAW-SUMMNU -> sessions:99  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-99/s99_gate_verdicts.txt | match='S99-W3-SEESAW-SUMMNU: PASS'
[EDGE:anchored_in] gates:S99-W4-A0A2-LMAX13 -> sessions:99  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-99/s99_gate_verdicts.txt | match='S99-W4-A0A2-LMAX13: FAIL'
[EDGE:anchored_in] gates:S99-W1-Q-NONRATIO-OBSERVABLE -> sessions:99  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-99/s99_gate_verdicts.txt | match='S99-W1-Q-NONRATIO-OBSERVABLE: INFO'
[EDGE:anchored_in] gates:S99-E1-STAGE2-VERIFY -> sessions:99  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-99/s99_gate_verdicts.txt | match='S99-E1-STAGE2-VERIFY: PASS'
[EDGE:anchored_in] gates:S99-W2-RELAXATION-CLOSURE -> sessions:99  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-99/s99_gate_verdicts.txt | match='S99-W2-RELAXATION-CLOSURE: FAIL'
[EDGE:cited_in] researchers:connes-ncg-theorist -> sessions:99  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-99/session-99-fermion-mass-connes.md | match='researchers/Connes/09_2006_Connes_Standard_model_neutrino_mixing.md'
[EDGE:cited_in] researchers:little-red-dots-jwst-analyst -> sessions:99  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-99/session-99-litrev-jwst-lrd-little-red-dots.md | match='researchers/Little-Red-Dots/'
[EDGE:succ_of] gates:S99-W2-BBN-RELIEF -> gates:S99-W2-RELAXATION-CLOSURE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-99-plan-w2.md | match='## §W2-2. S99-W2-BBN-RELIEF'
[EDGE:succ_of] gates:S99-W3-SEESAW-SUMMNU -> gates:S99-E1-STAGE2-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-99-plan-w3.md | match='## §W3-2. S99-W3-SEESAW-SUMMNU'
[EDGE:succ_of] gates:S99-W4-KAPPA-ALT-OBSERVABLE-SCAN -> gates:S99-W4-A0A2-LMAX13  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-99-plan-w4.md | match='## §W4-2. S99-W4-KAPPA-ALT-OBSERVABLE-SCAN'
