# LZ-2024 spin-independent DM-nucleon exclusion (90% CL observed), digitized
# Source: LZ collaboration, arXiv:2410.17036, Fig. 6 (WS2022+WS2024 combined)
# Published anchor: minimum sigma_SI = 2.2e-48 cm^2 at M = 40 GeV/c^2 (abstract)
# Digitization fidelity: +-0.15 dex (anchor point exact as published)
# METHODOLOGICAL empirical cross-check input per substrate-first-canonical-sourcing SS(i)
# Digitized: S100a-W1-4-SIGMA-DM-NUCLEON (landau-condensed-matter-theorist), 2026-06-06
mass_GeV,sigma_SI_excl_cm2
9,1e-45
10,3e-46
12,6.5e-47
14,2.4e-47
17,1e-47
20,5.5e-48
25,3.4e-48
30,2.7e-48
35,2.35e-48
40,2.2e-48
50,2.3e-48
60,2.5e-48
80,3e-48
100,3.4e-48
150,4.8e-48
200,6.2e-48
300,8.8e-48
500,1.4e-47
700,1.9e-47
1000,2.7e-47
2000,5.2e-47
3000,7.7e-47
5000,1.3e-46
10000,2.6e-46
