row_index,observable_name,c_KK,c_GV,classification,prior_class_atlas,prior_5bin,agrees_with_prior_registry,L_max_sensitive,p_k,span_predicted
1,R-protected row 1,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
2,R-protected row 2,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
3,R-protected row 3,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
4,A_s Branch A on k_a2 axis,14.685053713396265,0.0,PRIMARY-KK,single-axis-k_a2,PRIMARY-KK,True,False,"{""k_a2"": 1}",14.685053713396265
5,A_s Branch B (2.26 OOM SDW-Zubarev -> squared = 4.52 OOM),1766.1623235979455,0.0,PRIMARY-KK,slot-quadratic-M0,PRIMARY-KK,True,False,"{""M0"": 2}",1766.1623235979455
6,R-protected row 6,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
7,R-protected row 7,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
8,R-protected row 8,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
9,R-protected row 9,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
10,R-protected row 10,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
11,R-protected row 11,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
12,R-protected row 12,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
13,MIXED-FI-via-pin row 13,1.0,0.0,PRIMARY-KK,MIXED-FI-via-pin,PRIMARY-KK,True,False,{},1.0
14,R-protected row 14,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
15,R-protected row 15,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
16,R-protected row 16,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
17,MIXED-FI-via-pin row 17,1.0,0.0,PRIMARY-KK,MIXED-FI-via-pin,PRIMARY-KK,True,False,{},1.0
18,MIXED promotable row 18 (W3-G34 ch1 analog: n_s/alpha_s),4.607771028937846,0.0,PRIMARY-KK,MIXED-promotable,PRIMARY-KK,True,False,"{""f4_over_f2"": 1}",4.607771028937846
19,R-protected row 19,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
20,R-protected row 20,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
21,R-protected row 21,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
22,R-protected row 22,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
23,R-protected row 23,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
24,var_a2 / bare a_2 slot (p=1),42.02573406376081,0.0,PRIMARY-KK,slot-proportional-M0,PRIMARY-KK,True,False,"{""M0"": 1}",42.02573406376081
25,R-protected row 25,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
26,R-protected row 26,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
27,MIXED-FI-via-pin row 27,1.0,0.0,PRIMARY-KK,MIXED-FI-via-pin,PRIMARY-KK,True,False,{},1.0
28,R-protected row 28,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
29,R-protected row 29,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
30,E_J per-cell inventory (1.5 OOM enumeration),42.02573406376081,0.0,PRIMARY-KK,slot-proportional-M0,PRIMARY-KK,True,False,"{""M0"": 1}",42.02573406376081
31,R-protected row 31,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
32,R-protected row 32,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
33,MIXED promotable row 33 (W3-G34 ch3 analog: f_NL/r),6.482725820498721,0.0,PRIMARY-KK,MIXED-promotable,PRIMARY-KK,True,False,"{""sqrt_M0"": 1}",6.482725820498721
34,R-protected row 34,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
35,R-protected row 35,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
36,R-protected row 36,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
37,R-protected row 37,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
38,MIXED-FI-via-pin row 38,1.0,0.0,PRIMARY-KK,MIXED-FI-via-pin,PRIMARY-KK,True,False,{},1.0
39,R-protected row 39,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
40,R-protected row 40,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
41,R-protected row 41,1.0,0.0,PRIMARY-KK,R-protected,PRIMARY-KK,True,False,{},1.0
42,MIXED promotable row 42 (W3-G34 ch2 analog: A_s/mu),42.02573406376081,0.0,PRIMARY-KK,MIXED-promotable,PRIMARY-KK,True,False,"{""M0"": 1}",42.02573406376081
