observable_name,K_pairing_value,mellin_weight_match,p_k_signature,span_value,classification,source,structural_reason_if_accident
atlas_row_1_R-protected row 1,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_2_R-protected row 2,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_3_R-protected row 3,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_6_R-protected row 6,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_7_R-protected row 7,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_8_R-protected row 8,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_9_R-protected row 9,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_10_R-protected row 10,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_11_R-protected row 11,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_12_R-protected row 12,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_13_MIXED-FI-via-pin row 13,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K-META pinned,
atlas_row_14_R-protected row 14,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_15_R-protected row 15,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_16_R-protected row 16,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_17_MIXED-FI-via-pin row 17,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K-META pinned,
atlas_row_19_R-protected row 19,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
