gate_id,plan_file,anchor,snippet_present,predicted_cluster,measured_cluster,agreement_rel_err,compliance
S84-Z-R-COUNTERTERM-EXISTENCE,session-84-plan-w6.md,W6-67,False,1.0,107466.188041,107465.188041,MISSING-SNIPPET
S84-R-PROTECTED-ATLAS-COMPLETENESS,session-84-plan-w6.md,W6-68,False,1.0,nan,nan,MISSING-SNIPPET
S84-VII-K-PROP-LANDING,session-84-plan-w3.md,W3-21,False,1.0,0.0,1.0,MISSING-SNIPPET
S84-CONV-B-PROPAGATION-ATLAS,session-84-plan-w3.md,W3-22,False,1.0,0.0,1.0,MISSING-SNIPPET
S84-BALANCED-RATIO-UNIVERSALITY,session-84-plan-w3.md,W3-23,False,1.0,1.0,0.0,MISSING-SNIPPET
S84-F-TRAJ-MELLIN-ATLAS,session-84-plan-w3.md,W3-24,False,3.0,0.5,0.8333333333333334,MISSING-SNIPPET
S84-LEDGER-LINEARITY-ATLAS,session-84-plan-w3.md,W3-25,False,1.0,7.15e-14,0.9999999999999285,MISSING-SNIPPET
S84-CC5-ADJACENT-VALIDATION,session-84-plan-w3.md,W3-26,False,1.0,0.0,1.0,MISSING-SNIPPET
S84-M-H-PROPAGATION-CLASS,session-84-plan-w3.md,W3-27,False,3.0,8.2259,1.7419666666666664,MISSING-SNIPPET
S84-N-S-PROPAGATION-CLASS,session-84-plan-w3.md,W3-28,False,3.0,1.7505,0.41650000000000004,MISSING-SNIPPET
S84-ZUBAREV-REMOVAL-UNIVERSALITY,session-84-plan-w3.md,W3-29,False,1.0,nan,nan,MISSING-SNIPPET
S84-SLOT-SPAN-SCALING,session-84-plan-w3.md,W3-30,False,3.0,1.3883,0.5372333333333333,MISSING-SNIPPET
S84-CC5-L-MAX-ASYMPTOTIC,session-84-plan-w3.md,W3-31,False,nan,3.0,nan,MISSING-SNIPPET
S84-K-A4-CANONICAL-RANGE,session-84-plan-w3.md,W3-32,False,3.0,69.430482,22.143494,MISSING-SNIPPET
S84-META-COMPOSITION-RULE,session-84-plan-w3.md,W3-33,False,nan,8.0,nan,MISSING-SNIPPET
S84-M0-FCONV-BACK-IDENTITY-EXTENDED,session-84-plan-w3.md,W3-35,False,1.0,1.549169e-16,0.9999999999999999,MISSING-SNIPPET
