name,k_num,k_den,claimed_balanced,is_new_k2,zeta,Zubarev,SDW,dim-reg,lattice-BR,cluster,verdict
c_s,0,0,1,0,2.110987e+00,1.754376e+00,2.146806e+00,2.110987e+00,2.110987e+00,1.223686e+00,PASS
alpha_SDW_NLO,2,2,1,0,1.287154e+00,1.465954e+00,1.265596e+00,1.287154e+00,1.287154e+00,1.158311e+00,PASS
R_family_k1,1,1,1,0,1.077573e+00,1.126293e+00,1.071421e+00,1.077573e+00,1.077573e+00,1.051214e+00,PASS
R_family_k2,2,2,1,0,1.064201e+00,1.097940e+00,1.059932e+00,1.064201e+00,1.064201e+00,1.035859e+00,PASS
R_family_k3,3,3,1,0,1.054718e+00,1.079721e+00,1.051426e+00,1.054718e+00,1.054718e+00,1.026912e+00,PASS
chi_2,2,2,1,0,1.287154e+00,1.465954e+00,1.265596e+00,1.287154e+00,1.287154e+00,1.158311e+00,PASS
F_amp_3PI_lin_limit,2,2,1,0,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,PASS
g2_over_g3_k2,2,2,1,1,1.064201e+00,1.097940e+00,1.059932e+00,1.064201e+00,1.064201e+00,1.035859e+00,PASS
M2sq_over_M0_M4_k2,2,2,1,1,7.769079e-01,6.821496e-01,7.901417e-01,7.769079e-01,7.769079e-01,1.158311e+00,PASS
M2_M6_over_M4sq_k4,4,4,1,0,1.204422e+00,1.303291e+00,1.191696e+00,1.204422e+00,1.204422e+00,1.093644e+00,PASS
