observable,n_analytic,n_fd,|n_a - n_fd|,value_H_TD,value_H_C,value_H_LI,ratio_TD_over_C_log10,detector,year_accessible,notes
A_s,2,2.000e+00,0.000e+00,9.130947e-06,3.808595e-08,1.588597e-10,2.3798,Planck/CMB-S4,2018,H~^2/(8pi^2eps_H) * F_amp * 1/c_sub * f_conv
P_t,2,2.000e+00,4.441e-09,1.192764e-42,4.975119e-45,2.075164e-47,2.3798,LISA/DECIGO,2035,(2/pi^2)(H~/M_Pl)^2
n_s,0,0.000e+00,0.000e+00,9.417400e-01,9.417400e-01,9.417400e-01,0.0000,Planck/CMB-S4,2018,n_s - 1 = -2eps_H - eta_H (structural SR)
alpha_s,0,0.000e+00,0.000e+00,1.430000e-02,1.430000e-02,1.430000e-02,0.0000,CMB-S4/CMB-HD,2030,d n_s/d(ln k) 2nd-order SR
n_t,0,0.000e+00,0.000e+00,4.326000e-02,4.326000e-02,4.326000e-02,0.0000,LiteBIRD,2032,n_t = -2eps_H / Jensen-locked (substrate)
r,0,0.000e+00,0.000e+00,3.460800e-01,3.460800e-01,3.460800e-01,0.0000,LiteBIRD/BICEP,2032,r = 16 eps_H ratio — H~ cancels
f_NL,0,0.000e+00,0.000e+00,1.445833e-02,1.445833e-02,1.445833e-02,0.0000,SKA-2/CMB-S4,2030,f_NL_local = -(5/12)(n_s-1) Maldacena
mu,2,2.000e+00,8.882e-10,2.100118e-05,8.759769e-08,3.653774e-10,2.3798,PIXIE/PRISM,2035,mu ~ integral(A_s W(k) dk/k) Silk dissipation
tau_reio,0,0.000e+00,0.000e+00,5.400000e-02,5.400000e-02,5.400000e-02,0.0000,Planck/CMB-S4,2018,"optical depth — astrophysical, H~-independent"
alpha_s_CMB_S76,0,0.000e+00,0.000e+00,1.131258e-01,1.131258e-01,1.131258e-01,0.0000,CMB-S4 (via n_s),2030,alpha_s = n_s^2 - 1 (S50 spectral-moment identity)
dn_s_d_ln_k,0,0.000e+00,0.000e+00,1.430000e-02,1.430000e-02,1.430000e-02,0.0000,CMB-S4,2030,same as alpha_s (SR 2nd derivative)
spec_idx_xcorr_nt_ns,0,0.000e+00,0.000e+00,1.015200e-01,1.015200e-01,1.015200e-01,0.0000,LiteBIRD+CMB-S4,2032,n_t - n_s consistency — ratio form
