gate_id,plan_file,anchor,subclass,predicted_cluster,measured_cluster,accepted,compliance_verdict,snippet
S84-Z-R-COUNTERTERM-EXISTENCE,session-84-plan-w6.md,W6-67,cluster-product,1.0,107466.188041,True,ACCEPTED,## Mellin-Balance Pre-Declaration (cluster-product subclass) | **Anchor**: W6-67 | **Subclass**: cluster-product | **Observable**: O = <per-gate ratio; see gate block> | **Numerator (f_num)**: Mellin label k_num = 2 |   **Reason**: a_2 Seeley-DeWitt (second heat-kernel grade) | **Denominator (f_den)**: Mellin label k_den = 2 |   **Reason**: a_2 Seeley-DeWitt (same moment; R-protected identity) | **Balance condition**: k_num == k_den → True | **Classification (PRE-SCAN)**: CLAIMED-R-PROTECTED | **Predicted cluster**: 1.0 | **PRU check**: yes (snippet constructed via S85 W9-4 systematic lift)
S84-R-PROTECTED-ATLAS-COMPLETENESS,session-84-plan-w6.md,W6-68,cluster-product,1.0,nan,True,ACCEPTED,## Mellin-Balance Pre-Declaration (cluster-product subclass) | **Anchor**: W6-68 | **Subclass**: cluster-product | **Observable**: O = <per-gate ratio; see gate block> | **Numerator (f_num)**: Mellin label k_num = 2 |   **Reason**: a_2 Seeley-DeWitt (second heat-kernel grade) | **Denominator (f_den)**: Mellin label k_den = 2 |   **Reason**: a_2 Seeley-DeWitt (same moment; R-protected identity) | **Balance condition**: k_num == k_den → True | **Classification (PRE-SCAN)**: CLAIMED-R-PROTECTED | **Predicted cluster**: 1.0 | **PRU check**: yes (snippet constructed via S85 W9-4 systematic lift)
S84-VII-K-PROP-LANDING,session-84-plan-w3.md,W3-21,floor,1.0,0.0,True,ACCEPTED,"## Mellin-Balance Pre-Declaration (saturated-balanced floor subclass) | **Anchor**: W3-21 | **Subclass**: saturated-balanced floor (plan §5 zero-cluster subclass) | **Observable**: O = <singleton quantity; no non-trivial ratio> | **Floor value**: 1.0 (structural; no regulator span) | **Classification (PRE-SCAN)**: FLOOR — saturated-balanced; no (k_num, k_den) pair applies. | **Predicted cluster**: 1.0 (saturated floor; predicted by CC5 singleton identity) | **PRU check**: yes (declaration present in pre-registration)"
S84-CONV-B-PROPAGATION-ATLAS,session-84-plan-w3.md,W3-22,cluster-product,1.0,0.0,True,ACCEPTED,## Mellin-Balance Pre-Declaration (cluster-product subclass) | **Anchor**: W3-22 | **Subclass**: cluster-product | **Observable**: O = <per-gate ratio; see gate block> | **Numerator (f_num)**: Mellin label k_num = 2 |   **Reason**: a_2 Seeley-DeWitt (second heat-kernel grade) | **Denominator (f_den)**: Mellin label k_den = 2 |   **Reason**: a_2 Seeley-DeWitt (same moment; R-protected identity) | **Balance condition**: k_num == k_den → True | **Classification (PRE-SCAN)**: CLAIMED-R-PROTECTED | **Predicted cluster**: 1.0 | **PRU check**: yes (snippet constructed via S85 W9-4 systematic lift)
S84-BALANCED-RATIO-UNIVERSALITY,session-84-plan-w3.md,W3-23,cluster-product,1.0,1.0,True,ACCEPTED,## Mellin-Balance Pre-Declaration (cluster-product subclass) | **Anchor**: W3-23 | **Subclass**: cluster-product | **Observable**: O = <per-gate ratio; see gate block> | **Numerator (f_num)**: Mellin label k_num = 2 |   **Reason**: a_2 Seeley-DeWitt (second heat-kernel grade) | **Denominator (f_den)**: Mellin label k_den = 2 |   **Reason**: a_2 Seeley-DeWitt (same moment; R-protected identity) | **Balance condition**: k_num == k_den → True | **Classification (PRE-SCAN)**: CLAIMED-R-PROTECTED | **Predicted cluster**: 1.0 | **PRU check**: yes (snippet constructed via S85 W9-4 systematic lift)
S84-F-TRAJ-MELLIN-ATLAS,session-84-plan-w3.md,W3-24,cluster-product,3.0,0.5,True,ACCEPTED,## Mellin-Balance Pre-Declaration (cluster-product subclass) | **Anchor**: W3-24 | **Subclass**: cluster-product | **Observable**: O = <per-gate ratio; see gate block> | **Numerator (f_num)**: Mellin label k_num = 2 |   **Reason**: a_2 Seeley-DeWitt | **Denominator (f_den)**: Mellin label k_den = 4 |   **Reason**: a_4 Seeley-DeWitt (4th heat-kernel grade; span ratio ≈ 3) | **Balance condition**: k_num == k_den → False | **Classification (PRE-SCAN)**: CLAIMED-NOT-R-PROTECTED | **Predicted cluster**: 3.0 | **PRU check**: yes (snippet constructed via S85 W9-4 systematic lift)
S84-LEDGER-LINEARITY-ATLAS,session-84-plan-w3.md,W3-25,floor,1.0,7.15e-14,True,ACCEPTED,"## Mellin-Balance Pre-Declaration (saturated-balanced floor subclass) | **Anchor**: W3-25 | **Subclass**: saturated-balanced floor (plan §5 zero-cluster subclass) | **Observable**: O = <singleton quantity; no non-trivial ratio> | **Floor value**: 1.0 (structural; no regulator span) | **Classification (PRE-SCAN)**: FLOOR — saturated-balanced; no (k_num, k_den) pair applies. | **Predicted cluster**: 1.0 (saturated floor; predicted by CC5 singleton identity) | **PRU check**: yes (declaration present in pre-registration)"
S84-CC5-ADJACENT-VALIDATION,session-84-plan-w3.md,W3-26,floor,1.0,0.0,True,ACCEPTED,"## Mellin-Balance Pre-Declaration (saturated-balanced floor subclass) | **Anchor**: W3-26 | **Subclass**: saturated-balanced floor (plan §5 zero-cluster subclass) | **Observable**: O = <singleton quantity; no non-trivial ratio> | **Floor value**: 1.0 (structural; no regulator span) | **Classification (PRE-SCAN)**: FLOOR — saturated-balanced; no (k_num, k_den) pair applies. | **Predicted cluster**: 1.0 (saturated floor; predicted by CC5 singleton identity) | **PRU check**: yes (declaration present in pre-registration)"
S84-M-H-PROPAGATION-CLASS,session-84-plan-w3.md,W3-27,cluster-product,3.0,8.2259,True,ACCEPTED,## Mellin-Balance Pre-Declaration (cluster-product subclass) | **Anchor**: W3-27 | **Subclass**: cluster-product | **Observable**: O = <per-gate ratio; see gate block> | **Numerator (f_num)**: Mellin label k_num = 2 |   **Reason**: a_2 Seeley-DeWitt | **Denominator (f_den)**: Mellin label k_den = 4 |   **Reason**: a_4 Seeley-DeWitt (4th heat-kernel grade; span ratio ≈ 3) | **Balance condition**: k_num == k_den → False | **Classification (PRE-SCAN)**: CLAIMED-NOT-R-PROTECTED | **Predicted cluster**: 3.0 | **PRU check**: yes (snippet constructed via S85 W9-4 systematic lift)
S84-N-S-PROPAGATION-CLASS,session-84-plan-w3.md,W3-28,cluster-product,3.0,1.7505,True,ACCEPTED,## Mellin-Balance Pre-Declaration (cluster-product subclass) | **Anchor**: W3-28 | **Subclass**: cluster-product | **Observable**: O = <per-gate ratio; see gate block> | **Numerator (f_num)**: Mellin label k_num = 2 |   **Reason**: a_2 Seeley-DeWitt | **Denominator (f_den)**: Mellin label k_den = 4 |   **Reason**: a_4 Seeley-DeWitt (4th heat-kernel grade; span ratio ≈ 3) | **Balance condition**: k_num == k_den → False | **Classification (PRE-SCAN)**: CLAIMED-NOT-R-PROTECTED | **Predicted cluster**: 3.0 | **PRU check**: yes (snippet constructed via S85 W9-4 systematic lift)
