composite_id,source_atlas,src_row_id,label,m_lizzi_class,m_lizzi_top,pin_tag,k_context,m_connes_class,m_connes_top,status,r7_resolution,notes
LZ-S7-01,lizzi-S-7-II.1,W5-6,HP^1 magnitude max/min = 2.0,FI,FI,FI-via-pin,K-agnostic,FI,FI,DUAL-CITATION,N/A,R-protected-like 2x band; reduces S66 raw 381x by 190.5x
LZ-S7-02,lizzi-S-7-II.1,W0-5,Z_R 2-loop sub-dominant 8.64e-8,FI,FI,FI-via-pin,K-agnostic,FI,FI,DUAL-CITATION,N/A,Internal 2-loop/1-loop ratio; sign-aligned
LZ-S7-03,lizzi-S-7-II.1,W2-1,"axiom minimality {dim,reg,fin,real,1st-order}=5/7",FI-identity,FI,FI-pure,K-agnostic,FI,FI,DUAL-CITATION,N/A,connes-track; orient+PD NOT load-bearing for a_4/alpha_s; namespaced LZ-S7-3 to disambiguate from S82-10/S82-11 W2-1 rows
LZ-S7-08,lizzi-S-7-II.1,W5-4,"sign-pattern L_max-robust {8,9,10}",FI-identity,FI,FI-via-pin,K-agnostic,FI,FI,DUAL-CITATION,N/A,Truncation-stable; confirms W5-1 RD permanent
LZ-S7-10,lizzi-S-7-II.1,W5-7,two-layer obstruction n_joint=0/5,FI,FI,FI-pure,K-agnostic,FI,FI,DUAL-CITATION,N/A,Structural NO-go theorem; every individual conjunct already FAILs
S82-01,S82-VII.K-DUAL.LAYER,W0-A BRANCH-COUNT,6 branches (dim V = 6),FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-03,S82-VII.K-DUAL.LAYER,W1-3-SG CC-RATIOS-ONLY-SG,0 (multiset identity),FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-06,S82-VII.K-DUAL.LAYER,W1-5 UNIFIED-AS-79-CSUB-SIGN,-1.000 (dev 7.2e-14),FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-07,S82-VII.K-DUAL.LAYER,W1-4 CHI-N-WARD-DUAL,19.99 pct_var,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-08,S82-VII.K-DUAL.LAYER,W1-1 H-TILDE-EPOCH-LI,2.464e-5 M_Pl_red,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-09,S82-VII.K-DUAL.LAYER,W1-1 H-TILDE-EPOCH-LI-ZUBAREV,2.464e-5 M_Pl_red,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-10,S82-VII.K-DUAL.LAYER,W2-1 UNIFIED-AS-79-REPLAY-A,4.40e-6 rel dev,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-11,S82-VII.K-DUAL.LAYER,W2-1 UNIFIED-AS-79-REPLAY-B,9.46e-6 rel dev,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-12,S82-VII.K-DUAL.LAYER,W2-3 KASPAROV-ABELIAN-PROOF,K-track PROOF-COMPLETE,FI,FI,L1-AX,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-14,S82-VII.K-DUAL.LAYER,W2-6 GW-CHANNEL,29.63 OOM (gamma/alpha),FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-16,S82-VII.K-DUAL.LAYER,W2-5 HEAT-KERNEL-MP-EXCLUSION,PROOF-COMPLETE,FI,FI,L1-AX,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-19,S82-VII.K-DUAL.LAYER,W2-7 W3G-BETA-R3,REGISTERED-AND-FROZEN,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-20,S82-VII.K-DUAL.LAYER,W2-10 B1-JENSEN-SCAN,0 sign changes (J_u1 > 0),FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-21,S82-VII.K-DUAL.LAYER,W2-9 MULTIPAIR-ECOND,ratio 1.601,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-22,S82-VII.K-DUAL.LAYER,W2-12 CUSHION-DERIVATION-PIN,34/4 audit items,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
