name,empirical_class,sub_bucket,criterion_R,empirical_R,error_type,value,m_0_zeta,m_2_zeta,m_6_zeta
PI,RATIO,PURE_MATH,0,1,FN,3.141592653589793,0.3183098861837907,3.141592653589793,306.0196847852814
M_Pl_reduced,ABSOLUTE,PDG_OBS,0,1,FN,2.435e+18,4.106776180698152e-19,2.435e+18,8.560415166002188e+91
M_Pl_unreduced,ABSOLUTE,PDG_OBS,0,1,FN,1.2209e+19,8.190679007289705e-20,1.2209e+19,2.712691887943239e+95
G_N,ABSOLUTE,PDG_OBS,0,1,FN,6.6743e-11,14982844642.8839,6.6743e-11,1.324428806939696e-51
c_light,ABSOLUTE,PDG_OBS,0,1,FN,299792458.0,3.3356409519815204e-09,299792458.0,2.4216061708512208e+42
hbar_SI,ABSOLUTE,PDG_OBS,0,1,FN,1.054571817e-34,9.482521568277412e+33,1.054571817e-34,1.3043099401210367e-170
h_planck_SI,ABSOLUTE,PDG_OBS,0,1,FN,6.62607015e-34,1.5091901796421518e+33,6.62607015e-34,1.2772624574750927e-166
k_B,ABSOLUTE,PDG_OBS,0,1,FN,8.617333262e-05,11604.518121745585,8.617333262e-05,4.751868838231061e-21
k_B_SI,ABSOLUTE,PDG_OBS,0,1,FN,1.380649e-23,7.24297051603992e+22,1.380649e-23,5.016680160695828e-115
eV_SI,ABSOLUTE,UNIT_CONVERSION,0,1,FN,1.602176634e-19,6.241509074460763e+18,1.602176634e-19,1.0557278264735858e-94
eV_per_GeV,ABSOLUTE,UNIT_CONVERSION,0,1,FN,1000000000.0,1e-09,1000000000.0,1e+45
A_Bohr,ABSOLUTE,PDG_OBS,0,1,FN,5.29177210903e-11,18897261246.2577,5.29177210903e-11,4.149594552005991e-52
arcsec_to_rad,ABSOLUTE,UNIT_CONVERSION,0,1,FN,4.84813681109536e-06,206264.80624709636,4.84813681109536e-06,2.6783932025003628e-27
alpha_em_MZ_inv,RATIO,PDG_OBS,0,1,FN,127.955,0.007815247547966081,127.955,34299382842.8007
sin2_thetaW_MSbar,RATIO,PDG_OBS,0,1,FN,0.23122,4.32488539053715,0.23122,0.0006608866577619296
M_Z,ABSOLUTE,PDG_OBS,0,1,FN,91.1876,0.010966403326768112,91.1876,6304910521.691518
M_W,ABSOLUTE,PDG_OBS,0,1,FN,80.3692,0.012442577504815276,80.3692,3353113288.485272
G_N_cgs,ABSOLUTE,UNIT_CONVERSION,0,1,FN,6.6743e-08,14982844.642883897,6.6743e-08,1.324428806939697e-36
c_light_cgs,ABSOLUTE,UNIT_CONVERSION,0,1,FN,29979245800.0,3.33564095198152e-11,29979245800.0,2.421606170851221e+52
c_light_km_s,ABSOLUTE,UNIT_CONVERSION,0,1,FN,299792.458,3.3356409519815205e-06,299792.458,2.42160617085122e+27
hbar_c_GeV_fm,ABSOLUTE,UNIT_CONVERSION,0,1,FN,0.1973269804,5.067730717679396,0.1973269804,0.00029917985729146796
hbar_c_GeV_m,ABSOLUTE,UNIT_CONVERSION,0,1,FN,1.973269804e-16,5067730717679395.0,1.973269804e-16,2.991798572914681e-79
hbar_c_GeV_cm,ABSOLUTE,UNIT_CONVERSION,0,1,FN,1.973269804e-14,50677307176793.96,1.973269804e-14,2.991798572914679e-69
hbar_eV_s,ABSOLUTE,UNIT_CONVERSION,0,1,FN,6.582119569e-16,1519267447996127.2,6.582119569e-16,1.2354604197270042e-76
hbar_GeV_s,ABSOLUTE,UNIT_CONVERSION,0,1,FN,6.582119569e-25,1.5192674479961274e+24,6.582119569e-25,1.2354604197270033e-121
l_Planck,ABSOLUTE,PDG_OBS,0,1,FN,1.616255e-35,6.18714249917247e+34,1.616255e-35,1.1029337008108957e-174
l_Planck_cm,ABSOLUTE,UNIT_CONVERSION,0,1,FN,1.616255e-33,6.18714249917247e+32,1.616255e-33,1.1029337008108954e-164
t_Planck,ABSOLUTE,PDG_OBS,0,1,FN,5.391247e-44,1.854858439986148e+43,5.391247e-44,4.554557061081989e-217
H_0_km_s_Mpc,ABSOLUTE,PLANCK_OBS,0,1,FN,67.4,0.014836795252225518,67.4,1390911451.3462405
H_0_inv_s,ABSOLUTE,PLANCK_OBS,0,1,FN,2.184e-18,4.5787545787545786e+17,2.184e-18,4.9689333353447435e-89
H_0_GeV,ABSOLUTE,PLANCK_OBS,0,1,FN,1.438e-42,6.954102920723227e+41,1.438e-42,6.148857526387165e-210
T_CMB,ABSOLUTE,PLANCK_OBS,0,1,FN,2.7255,0.36690515501742804,2.7255,150.39414595865784
