S88-CF-CURV-5-CASCADE-SCALING-DERIVATION: PASS -- value='LINEAR_g_max=384' scheme=substrate-spectral-primitive convention=atlas-B1-cardinality-2-locked L_max=10 audit_sha256=733d803f72dc2ba7309338e86a097018c521ba59efe794f5238430c1c38d7001 content_sha256=f1e64f2f1d668a41c377bbdf5ff00dd3b608c77abf99c4e1c174e8208396b579 schema_version=S87+
# audit_sha256_short=733d803f72dc2ba7 content_sha256_short=f1e64f2f1d668a41 # S88-CF-CURV-5-CASCADE-SCALING-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-5-CASCADE-SCALING-DERIVATION 3-tuple annotation (S87 schema-v2)
S88-CF-CURV-6-N-PBH-PER-CASCADE-GENERATION: PASS -- value='1.7581e-23' scheme=substrate-Connes-graph-edge-density convention=cardinality-2-LRD-anchor L_max=10 audit_sha256=e865358487810b2fe560244b4e60c1ee3c16856ef285dbcd88b94c91097c14c1 content_sha256=bea9237d8176a430da9f5cbc46ce45168757789b4123c9190c39b051b3eec5ca schema_version=S87+
# audit_sha256_short=e865358487810b2f content_sha256_short=bea9237d8176a430 # S88-CF-CURV-6-N-PBH-PER-CASCADE-GENERATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-6-N-PBH-PER-CASCADE-GENERATION 3-tuple annotation (S87 schema-v2)
S88-CF-CURV-7-BULK-CASCADE-GGE-ENERGY-BOOKKEEPING: PASS -- value='1.1606e-103' scheme=substrate-clock-vs-FRW-IN-proper-time convention=DS-2-corrected-per-gen-0.15573 L_max=10 audit_sha256=b3f0210d3f2488f68ae5307b296624bbfb887ede26a3bc1efdfa6deef4772adb content_sha256=1ed6ef0629f994cddb39c7ce3d9586f6ab8611637c3331bdcd1e4fdc6ce1475e schema_version=S87+
# audit_sha256_short=b3f0210d3f2488f6 content_sha256_short=1ed6ef0629f994cd # S88-CF-CURV-7-BULK-CASCADE-GGE-ENERGY-BOOKKEEPING dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-7-BULK-CASCADE-GGE-ENERGY-BOOKKEEPING 3-tuple annotation (S87 schema-v2)
S88-CF-CURV-17-LOCK-SELF-CONSISTENCY-DS-1-WEAK-READING: PASS -- value='1.0000e-30' scheme=DS-1-weak-reading-channel-enumeration convention=NCG-axioms-3-5-6 L_max=10 audit_sha256=a7692a58d5bf3212445b8038cb890c43ac465737bbac14ef27fdf6596701f7b8 content_sha256=4b80b94a53381173561ced9e7e6269f2fc11ea5bad28e8fa0ec4ab4e2278bfe6 schema_version=S87+
# audit_sha256_short=a7692a58d5bf3212 content_sha256_short=4b80b94a53381173 # S88-CF-CURV-17-LOCK-SELF-CONSISTENCY-DS-1-WEAK-READING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-17-LOCK-SELF-CONSISTENCY-DS-1-WEAK-READING 3-tuple annotation (S87 schema-v2)
S88-CF-CURV-8-F-H3-HP1-COHOMOLOGY-LOCK-BOUNDARY: PASS -- value=3 scheme=Hochschild-Connes-Karoubi-degree-1-rank-via-SVD convention=HP1-cohomology-lock-boundary-substrate-IS-Tier1 L_max=10 audit_sha256=231990406eb2c8813a50346ecf22c46929d64c75397ff65d4ae4cdf59fd0bd81 content_sha256=c73e5dc1127e7e1ef5d0de8dfec3068afb7bf07e586d973457d3051619e76bc9 schema_version=S84+
# audit_sha256_short=231990406eb2c881 content_sha256_short=c73e5dc1127e7e1e # S88-CF-CURV-8-F-H3-HP1-COHOMOLOGY-LOCK-BOUNDARY dual-SHA companion row (W9a-99 split)
S88-CF-CURV-9-CONNES-GRAPH-AUTOMORPHISM-HORIZON-EDGES: PASS -- value=1.0 scheme=explicit-graph-construction-at-each-cascade-generation-recursive convention=Connes-graph-A2-reflection-Z2-horizon-edge-survival-binary-cascade L_max=10 audit_sha256=9565694b31138b0819ed83ffc6b75df5046835e9311edb5407e6ef362a9f4fd5 content_sha256=4389cb245fe7145a9a10f36bf228f6b8d20dc175d243289008ed1a4abeb9a752 schema_version=S84+
# audit_sha256_short=9565694b31138b08 content_sha256_short=4389cb245fe7145a # S88-CF-CURV-9-CONNES-GRAPH-AUTOMORPHISM-HORIZON-EDGES dual-SHA companion row (W9a-99 split)
S88-CF-CURV-10-SUBSTRATE-BITS-PER-PIXEL: FAIL -- value=21.251038527213534 scheme=direct-Bekenstein-Hawking-vs-PW-block-internal-dim-comparison convention=substrate-bits-per-pixel-LRD-horizon-J3-lock-Lmax10 L_max=10 audit_sha256=dcd9fcf8fac10e37e019ab9493ab9590ded07c7806c72e8fd9ba3224a1c8ee7e content_sha256=265c783b6686c642cae3af10a18b128548b936def5bb7f211fab6920ec92804f schema_version=S84+
# audit_sha256_short=dcd9fcf8fac10e37 content_sha256_short=265c783b6686c642 # S88-CF-CURV-10-SUBSTRATE-BITS-PER-PIXEL dual-SHA companion row (W9a-99 split)
S88-CF-CURV-11-PAGE-TIME-CASCADE-TAIL-MASS: PASS -- value='ratio_anchor=9.668365e+04;ratio_hi=9.668365e+07;t_Page_anchor_s=4.205739e+22;t_universe_s=4.350e+17;M_crit_kg=2.1788e+11;M_pass100_kg=1.0113e+12;passband_ratio=100.0;M_grid_log10=[np.float64(12.0), np.float64(12.5), np.float64(13.0), np.float64(13.5), np.float64(14.0)];pass_per_grid=[False, True, True, True, True]' scheme=Hawking-1974-Page-1993 convention=substrate-IS-cascade-tail-eigenvalue-reorganization L_max=N/A audit_sha256=8d086bdfc66554a207b75137283c3ec1b03c4b5c3488620ebaa6a5a73b9676f1 content_sha256=985217c9249553a9fc470f5a115465066aadb556b91a9109e777514ffa336107 schema_version=S84+
# audit_sha256_short=8d086bdfc66554a2 content_sha256_short=985217c9249553a9 # S88-CF-CURV-11-PAGE-TIME-CASCADE-TAIL-MASS dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-11-PAGE-TIME-CASCADE-TAIL-MASS 3-tuple annotation (S87 schema-v2)
S88-CF-CURV-12-UNIVERSAL-LOCK-CONDITION-THEOREM-STAGE-1-PROMOTION: PASS -- value='stage_1_candidate_landed_at_§VII.AM;rubric_elements_passed=17/17;substantive_line_count=114;calibration_corpus_n=3;corpus=[J3,S58,W1b2-64];stage_2_carry_forward=S89-UNIVERSAL-LOCK-CONDITION-STAGE-2-CROSS-AXIS-VERIFY;registry_appended=True;slot_row_appended=True;allowlist_appended=True' scheme=joint-theorem-promotion-stage-1 convention=cross-pillar-bridge-anatomy-5-IS-not-IN-plus-3-tier L_max=N/A audit_sha256=81d1c1d87f1790b9620781b2580868d22dab89fb59b69bfc0d2d090376848eb0 content_sha256=f49fd4437f82c40924bcd0d2d9ac0ee11cb5a6c7f27e4dd7b9c6ea45460a9f99 schema_version=S84+
# audit_sha256_short=81d1c1d87f1790b9 content_sha256_short=f49fd4437f82c409 # S88-CF-CURV-12-UNIVERSAL-LOCK-CONDITION-THEOREM-STAGE-1-PROMOTION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-12-UNIVERSAL-LOCK-CONDITION-THEOREM-STAGE-1-PROMOTION 3-tuple annotation (S87 schema-v2)
S88-CF-CURV-13-JWST-ROMAN-ATHENA-89-PEAK-DETECTION: PASS -- value='PROTOCOL_PRE_REGISTERED_NLRD1000_sigmaMBH010_globalSNR6.37sigma' scheme=multi-method-mass-estimator-NIRSpec-RM-dynamical-bayesian-hierarchical-89-peak-anderson-darling convention=J7-89-element-cascade-spectrum-NLRDgeq1000-sigmaMBHleq0.15dex-protocol-preregistration-S88 L_max=N/A_observational audit_sha256=6f104220049bfcca72fb764be92a9895491dca8361a0c38c4fb1c7f942a521cd content_sha256=8c68e5817f72e4c441c3d91ad0ab6e97f9774b3ce8ce6e6e3f7a48a700d2ab5a schema_version=S84+
# audit_sha256_short=6f104220049bfcca content_sha256_short=8c68e5817f72e4c4 # S88-CF-CURV-13-JWST-ROMAN-ATHENA-89-PEAK-DETECTION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-13-JWST-ROMAN-ATHENA-89-PEAK-DETECTION 3-tuple annotation (S87 schema-v2)
