S89-ALPHA-M-NCG-HORIZON-MICROSTATE-COUNT-DERIVATION: FAIL -- value='alpha=-1.590633e-116;rel_dev=1.000000e+00;n=0.0000;Tr_HSS=38;R_CM=3.800000e+01;monotone=False;K_advance=1to2_BY_CONSTRUCTION' scheme=peter-weyl-block-diagonal-HSS-projection-Lmax10-tau-fold-019 convention=horizon-spanning-sector-projection-CM-1995-III-4-FULL L_max=10 audit_sha256=6db37f7c6da0768662c5afb320654a54f2e4c478882d365465712034e28a16fe content_sha256=4798e1dca75ec6dc072d0d98b4fc58ed20ba18edd2c9a3f7862c5e810921487f schema_version=S87+
# audit_sha256_short=6db37f7c6da07686 content_sha256_short=4798e1dca75ec6dc # S89-ALPHA-M-NCG-HORIZON-MICROSTATE-COUNT-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S89-ALPHA-M-NCG-HORIZON-MICROSTATE-COUNT-DERIVATION 3-tuple annotation (S87 schema-v2)
S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE: FAIL -- value='coverage=Pass;cross_checks_passed=1/3' scheme=substrate-derived-T_H-g-times-PDG-SM-threshold-structure convention=substrate-cascade-T_H-g-with-SM-threshold-structure-FULL L_max=10 audit_sha256=6d6607fa12c565fcbe699b711306a192aa6640764d102ec9ca2c42b7d4b1c633 content_sha256=47f1deb6a82cd35cffff4da512bf24081bbc265dd8c293d57edfa64633c7a253 schema_version=S84+
# audit_sha256_short=6d6607fa12c565fc content_sha256_short=47f1deb6a82cd35c # S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE 3-tuple annotation (S87 schema-v2)
S89-L-H-CANONICAL-RE-PINNING-CASCADE-TAIL-13OOM: FAIL -- value='PRE-REG-INC_blocked_by_S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE_FAIL' scheme=substrate-pinned-T_H-1.057-MeV-SM-species convention=multi-species-stefan-boltzmann-with-supersedes-token L_max=10 audit_sha256=599a30d5382ef89417070463cc7632e92323c201955db1b45ccacedaddcbc51a content_sha256=81ce7f5bc0fc0696e20ef18aef45f76a74803adfe2a34948979e8d5c63e7b0f3 schema_version=S84+
# audit_sha256_short=599a30d5382ef894 content_sha256_short=81ce7f5bc0fc0696 # S89-L-H-CANONICAL-RE-PINNING-CASCADE-TAIL-13OOM dual-SHA companion row (W9a-99 split)
# S89-L-H-CANONICAL-RE-PINNING-CASCADE-TAIL-13OOM mechanical closure: PRE-REG-INC per session-89-plan-w1.md §W1-3 §11 line 931 (forecloses §W1-2 on §W1-3 FAIL); deferred to S90 (CF-W1-3-RETRY + CF-W1-2-DEFERRED); required prereqs: [S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE=PASS_or_INFO]; closure_script=computations/session-89/s89_w1_2_mechanical_closure.py; upstream_audit_sha256=6d6607fa12c565fcbe699b711306a192aa6640764d102ec9ca2c42b7d4b1c633; user_adjudication=2026-05-10_Foreclose-W1-2-only-dispatch-W1-4
S89-N-PBH-BAND-EDGE-TENSION-RECONCILIATION: INFO -- value='n_PBH_central=1.758127e-23;band_edge_inclusion=True;upper_22_6_pct=False' scheme=cf-curv-6-substrate-cascade-tail-at-g-BBN-Lmax-10 convention=CF-CURV-6-substrate-IS-structural-central-substrate-pinned-FULL L_max=10 audit_sha256=2e1993dcd5d5ce6a8294d47584a98922800947d71017bb17a45ab8f815c3541a content_sha256=4a797884d154bbe5443016167eff4789f381af6c774ca212b340c153481e433f schema_version=S87+
# audit_sha256_short=2e1993dcd5d5ce6a content_sha256_short=4a797884d154bbe5 # S89-N-PBH-BAND-EDGE-TENSION-RECONCILIATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=VALID # S89-N-PBH-BAND-EDGE-TENSION-RECONCILIATION 3-tuple annotation (S87 schema-v2)
S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE: FAIL -- value='R_canonical=7.32497437838736;xc1=False;xc1_rel_dev=2.406e-06;xc2=False;xc2_rel_dev=6.105e+00;diag=class-8-3-pub-precision-and-xc2-diff-observable' scheme=Hochschild-cocycle-times-Chern-character convention=BdG-restricted-Connes-Karoubi-pairing-Connes-Moscovici-1995-III.4 L_max=10 audit_sha256=f67458d183a95be8cd1c1dc2bde51296ccbea593beac776540b45999459e635d content_sha256=13ff225857223c1e0e07a9f737fa3932e6f124646ad07a25a8489bf2ac84151e schema_version=S87+
# audit_sha256_short=f67458d183a95be8 content_sha256_short=13ff225857223c1e # S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE 3-tuple annotation (S87 schema-v2)
S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH: FAIL -- value='PRE-REG-INC_blocked_by_S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE_FAIL' scheme=Cohomology-asymmetry-test-class-B convention=BCS-physics-grounded-R-substrate-Volovik-2003-7.2-polycritical L_max=10 audit_sha256=3911bc108fe9c486d95c4fe018fc71eaad588c47758da5ff8c4f264dc3550184 content_sha256=525adaad2a2f36a9d45f70c63af6c4c4cc46159a567e396582bb0e067e89c482 schema_version=S87+
# audit_sha256_short=3911bc108fe9c486 content_sha256_short=525adaad2a2f36a9 # S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH 3-tuple annotation (S87 schema-v2; foreclosure under [SIGN]+[VERIFY] composite trigger)
# S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH mechanical closure: PRE-REG-INC per session-89-plan-w2.md §W2-2.6 line 228 (PREREQUISITE A.3 PASS); deferred to S90 (CF-W2-1-RETRY + CF-W2-2-DEFERRED); required prereqs: [S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE=PASS]; closure_script=computations/session-89/s89_w2_2_mechanical_closure.py; upstream_audit_sha256=f67458d183a95be8cd1c1dc2bde51296ccbea593beac776540b45999459e635d
S89-INDEPENDENT-CHI-PRIME-INHERITANCE-MORPHISM-M2C-CL1-TARGET: PASS -- value='kernel_M3C_dim=9;indep_from_chi=True;dim_M3=9_vs_dim_target=8_contradiction=True;K_counter=2to3' scheme=Connes-1996-reconstruction-NCG-axioms-3-5-6 convention=Independent-chi-prime-M2C-Cl1-target-Schur-orthogonality-derived-annihilation L_max=N/A audit_sha256=90bba262af80a04c4c33e40376491f850c4ca224aa5c7b8506567a75f9f68843 content_sha256=98f06034cabb8b25e107c37d32164e79b74d0ca9744ae76293c7a4e1bb93f1c9 schema_version=S87+
# audit_sha256_short=90bba262af80a04c content_sha256_short=98f06034cabb8b25 # S89-INDEPENDENT-CHI-PRIME-INHERITANCE-MORPHISM-M2C-CL1-TARGET dual-SHA companion row (W9a-99 split)
S89-3HEB-EXCESS-INHERITANCE-CONNES-KAROUBI-PAIRING-CANONICAL: FAIL -- value='PRE-REG-INC_blocked_by_S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE_FAIL_AND_S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH_FAIL' scheme=Sagan-revised-dual-prior-3-track-structure convention=Element-3-fiducial-anchor-binding-discipline-S88-W15-V7-compliant L_max=10 audit_sha256=7e9ed46fadce0050e61a02b97f21044fbfc43b9dfdacee41f09ae5cc06e04cf4 content_sha256=68b5523d92e741c62618698d1a3a066364132fd1405c6e0d65a88c02500bd8f0 schema_version=S87+
# audit_sha256_short=7e9ed46fadce0050 content_sha256_short=68b5523d92e741c6 # S89-3HEB-EXCESS-INHERITANCE-CONNES-KAROUBI-PAIRING-CANONICAL dual-SHA companion row (W9a-99 split)
# S89-3HEB-EXCESS-INHERITANCE-CONNES-KAROUBI-PAIRING-CANONICAL mechanical closure: PRE-REG-INC per session-89-plan-w2.md §W2-4.6 line 567 (PREREQUISITES A.3 PASS AND A.4 PASS); deferred to S90 (CF-W2-1-RETRY + CF-W2-2-DEFERRED + CF-W2-4-DEFERRED); required prereqs: [S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE=PASS, S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH=PASS]; closure_script=computations/session-89/s89_w2_4_mechanical_closure.py; upstream_audit_sha256_a3=f67458d183a95be8cd1c1dc2bde51296ccbea593beac776540b45999459e635d; upstream_audit_sha256_a4=3911bc108fe9c486d95c4fe018fc71eaad588c47758da5ff8c4f264dc3550184
S89-CHIRALITY-FIDELITY-3-PROXY-RECOMPUTE-CS-GV-ETACS: FAIL -- value='Delta_GV_natural=0.000000e+00;eta_invariant=True;GV_discriminating_per_sector=True;binding_direction=canonical-import-binding-RETAINED-substrate-natural-FAILED;W23_V2_calibration_locus_reproduced=True' scheme=Chirality-resolved-D_K-spectrum-3-proxy-CS-GV-etaCS convention=Chirality-fidelity-3-proxy-substrate-natural-binding-W23-W7b-82-V5-B58-extension L_max=10 audit_sha256=a4001e6c2f07ffaa7e497019dfc4cfd40548ee70566c03755a5a98980a78fe13 content_sha256=69b50e51f4cac5f0957957abf0ce254c138bb5e215baff544fbe5b727c4126e4 schema_version=S87+
# audit_sha256_short=a4001e6c2f07ffaa content_sha256_short=69b50e51f4cac5f0 # S89-CHIRALITY-FIDELITY-3-PROXY-RECOMPUTE-CS-GV-ETACS dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S89-CHIRALITY-FIDELITY-3-PROXY-RECOMPUTE-CS-GV-ETACS 3-tuple annotation (S87 schema-v2)
