CF-S91-V4-K_CANONICAL-MULTI-BRANCH-FOSSIL-TEST: PASS -- value='n_aligned=417/16384_routing=Reading-B-WIN-route-T1.2-priority' scheme=substrate-IS-multi-branch-B-tensor-canonical-S87-W2-3-second-log-derivative convention=V4-Re-V3-Option-gamma-dispatch-routing-Cell-IV-substrate-distance-2-pole-s4-PLAN-OPERATOR-CORRECTED-PER-USER-2026-05-16 L_max=12 audit_sha256=5895dd87c141bf885f3e34602f828872aa9a7b9841b183ff8b3a441801b9ccaa content_sha256=52e91afecb8dcc3bd274daaac95814b8464d4628b2094f464748af1dddbc0092 schema_version=S87+
# audit_sha256_short=5895dd87c141bf88 content_sha256_short=52e91afecb8dcc3b # CF-S91-V4-K_CANONICAL-MULTI-BRANCH-FOSSIL-TEST dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # CF-S91-V4-K_CANONICAL-MULTI-BRANCH-FOSSIL-TEST 3-tuple annotation (S87 schema-v2)
# V4_routing=Reading-B-WIN-route-T1.2-priority # CF-S91-V4-K_CANONICAL-MULTI-BRANCH-FOSSIL-TEST routing oracle (Re:V3 Option gamma flowchart): PASS=>T1.2 priority; FAIL=>T1.1 priority; INFO=>parallel
CF-S91-CF-70-FULL-CC-MULTIPLIERS: INFO -- value='Delta_FULL=+2.199981e-02_M_BARE=3.0909e+03_M_FULL_CC=3.1589e+03' scheme=FULL-CC1996-multipliers-2.2-2.3-spectral-action-PROXY-REFINEMENT convention=VII-AV-PROXY-REFINEMENT-FULL-PHYSICAL-Pauli-Villars-substrate-distance-2-pole-s4-PLAN-OPERATOR-CORRECTED-PER-USER-2026-05-16 L_max=12 audit_sha256=26d40c88fcddf694dbb8c2b3639f315550111222e2af21e9aa309c69b7ad6654 content_sha256=e664c4801be67cc08038f8b13848bcccd60e05aef5726ce3b28d91407daf6416 schema_version=S87+
# audit_sha256_short=26d40c88fcddf694 content_sha256_short=e664c4801be67cc0 # CF-S91-CF-70-FULL-CC-MULTIPLIERS dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=MARGINAL # CF-S91-CF-70-FULL-CC-MULTIPLIERS 3-tuple annotation (S87 schema-v2)
# promotion_target=permanent-results-registry.md section VII.AV from=REGISTRY-INCOMPLETE-PENDING-PROXY-REFINEMENT to=REGISTRY-INCOMPLETE-PENDING-PROXY-REFINEMENT # CF-S91-CF-70-FULL-CC-MULTIPLIERS VII.AV PROXY-REFINEMENT discharge NOT achieved (composite=INFO; routes refinement to W1-3 T1.2 OR W5 T1.11)
# LEVEL_CLASS_PIN=FULL # CF-S91-CF-70-FULL-CC-MULTIPLIERS substrate-first-canonical-sourcing.md section (iv) K=4 MANDATORY level-pin compliance (consumes computations/_pauli_villars_subtraction.py PRIMARY helper)
CF-S91-CF-71-K_CANONICAL-PIN-UNIQUENESS: PASS -- value='uniqueness_class=c-UNIQUE-multi-branch-B-tensor_L_A=-6.267478_L_B=-7.046336_Delta_A=+1.105338e-01_Delta_B=-1.260483e-16' scheme=substrate-IS-K_canonical-pin-uniqueness-DRY-RUN-DISCRIMINATOR convention=VII-AV-OPERATIONAL-ALIGNMENT-substrate-distance-2-pole-s4-4-class-uniqueness-adjudication-PLAN-OPERATOR-CORRECTED-PER-USER-2026-05-16 L_max=12 audit_sha256=db08f3dfd9c8a5532c442629dd256950f51ac3219bfbe1bc8c35471b6b2be9c4 content_sha256=c9a6755d5d7463a85666269f0a97a46b29cda57ccc8629616212563b617253ff schema_version=S87+
# audit_sha256_short=db08f3dfd9c8a553 content_sha256_short=c9a6755d5d7463a8 # CF-S91-CF-71-K_CANONICAL-PIN-UNIQUENESS dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # CF-S91-CF-71-K_CANONICAL-PIN-UNIQUENESS 3-tuple annotation (S87 schema-v2)
# uniqueness_class=c-UNIQUE-multi-branch-B-tensor routing=OPERATIONAL-ALIGNMENT-binding-T2.52-rule-extension-K-counter-K=1-to-K=2;ROUTE-T1.1-secondary-verification-axis # CF-S91-CF-71-K_CANONICAL-PIN-UNIQUENESS DRY-RUN DISCRIMINATOR 4-class adjudication (volovik s6 section 6 CF-71D)
CF-S91-VII-AV-HOCHSCHILD-DEGENERATION-TEST: INFO -- value='axis_alpha_classification=MIXED-cross-axis-adjudication-required_max_spread=1.683110e-01_at_L_max=10' scheme=regulator-class-invariance-test-substrate-distance-2-pole-s4-axis-alpha-4-regulator-atlas-x-Lmax-scan convention=VII-AV-HOCHSCHILD-CROSS-ANCHOR-axis-alpha-4-regulator-atlas-PLAN-PROJECTION-INDICATORS-REPLACED-PER-USER-2026-05-16 L_max=12 audit_sha256=be8c3197958ea25e2d5410f70ba0409611d5183295df7ef9eaa5c2bc9c96a121 content_sha256=7393c0925133e0584081e5ddaa4dc5a7cfadd00014156e406c77d5f1bb3caf0c schema_version=S87+
# audit_sha256_short=be8c3197958ea25e content_sha256_short=7393c0925133e058 # CF-S91-VII-AV-HOCHSCHILD-DEGENERATION-TEST dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=MARGINAL # CF-S91-VII-AV-HOCHSCHILD-DEGENERATION-TEST 3-tuple annotation (S87 schema-v2)
# axis_alpha_classification=MIXED-cross-axis-adjudication-required # CF-S91-VII-AV-HOCHSCHILD-DEGENERATION-TEST regulator-class invariance adjudication (epistemic-discipline.md FI/RD/MIXED taxonomy)
CF-AV-L2-MODULI: FAIL -- value='PRE-REG-INC_blocked_by_off-fold-caches-tau-018-020-NOT-PRESENT' scheme=Level-2-moduli-deformation-extension-VII-AV-substrate-distance-2-pole-s4 convention=VII-AV-LEVEL-2-MODULI-PRE-REG-INC-CLOSURE-OFF-FOLD-CACHES-MISSING-PER-USER-RIGHT-MATHS-2026-05-16 L_max=12 audit_sha256=a85a362ea5ad41735a7eb97565850d17a80441491b328348bc91efcf8a9d7f45 content_sha256=ad28438cbe4adf1be4bfc21b65f4c7c63e05a2d31a0f0f0de21e3daa29f8c72a schema_version=S87+
# audit_sha256_short=a85a362ea5ad4173 content_sha256_short=ad28438cbe4adf1b # CF-AV-L2-MODULI dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=N/A regime_verdict=BREAKDOWN # CF-AV-L2-MODULI 3-tuple annotation (S87 schema-v2)
# blocking_reason=off-fold-caches-tau-018-020-NOT-PRESENT-requires-D_K-diagonalization-at-L_max-12 # CF-AV-L2-MODULI mechanical-closure-discipline.md PRE-REG-INC audit-trail signature (off-fold caches not present; right-maths closure per user directive 2026-05-16)
S91-CF37-CHI-PRIME-WEIGHT-CANONICALIZED-FULL-CM-1995-III-4-SUBSTRATE-DISTANCE-2-EVALUATION: PASS -- value='reading=V_R_zeta=1.414393e+02_R_PV=1.144577e+02_R_Mellin=1.414393e+02_image_block_rank=3_cross_reg_spread=2.698e+01' scheme=FULL-CM-1995-III-4-residue-formula convention=substrate-distance-2-multi-regulator-atlas L_max=12 audit_sha256=58671312b0aee2e749836b8902273ab135073992736ddcc8f3362be2328dea14 content_sha256=a6d7346ee04657c3a7099e1b8d4fbc77ac4f2fa302789f3041c551c56827c64e schema_version=S87+
# audit_sha256_short=58671312b0aee2e7 content_sha256_short=a6d7346ee04657c3 # S91-CF37-CHI-PRIME-WEIGHT-CANONICALIZED-FULL-CM-1995-III-4-SUBSTRATE-DISTANCE-2-EVALUATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS-V regime_verdict=VALID # S91-CF37-CHI-PRIME-WEIGHT-CANONICALIZED-FULL-CM-1995-III-4-SUBSTRATE-DISTANCE-2-EVALUATION 3-tuple annotation (S87 schema-v2)
# reading_iv_match_bool=False reading_v_pluralism_bool=True truncation_consistent=True K_a4_positive=True K_a4_value=1.414393e+02 # S91-CF37-CHI-PRIME-WEIGHT-CANONICALIZED-FULL-CM-1995-III-4-SUBSTRATE-DISTANCE-2-EVALUATION substrate-physics CF-37 χ' canonicalization routing oracle: PASS-IV ⇒ §VII.AX single-anchor substrate-natural-binding (W3 T1.9 PARALLEL); PASS-V ⇒ §VII.AX multi-pin atlas (W3 T1.8 AUX-4); INFO ⇒ deferred-pending OPERATIONAL-ALIGNMENT to S92 L_max=14+; FAIL ⇒ AUX-4 (c)∘(d) γ(s)≠Γ(s) secondary corridor
S91-VII-AU-FIRST-EXTRACTION-PARAMETERIZATION: FAIL -- value='truncation-breakdown' scheme=Mellin-cone-residue-at-substrate-distance-1-pole-s3 convention=op-proj-first-extraction-three-param-sub-option-discriminator L_max=12 audit_sha256=503fd2e6872bd3e794a68c97b6608f68773c6b0b56381d542cdf84bbdda46334 content_sha256=1bf36c85b25d2472fad8dbe001eaf349995a610656943411e0395aa6eed58360 schema_version=S87+
# audit_sha256_short=503fd2e6872bd3e7 content_sha256_short=1bf36c85b25d2472 # S91-VII-AU-FIRST-EXTRACTION-PARAMETERIZATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=BREAKDOWN # S91-VII-AU-FIRST-EXTRACTION-PARAMETERIZATION 3-tuple annotation (S87 schema-v2; substitution chain Step 4 pre-registers M_3^(a) > 0 directional prediction)
# LEVEL_CLASS_PIN=FULL MACHINERY_SCOPE_PIN=CACHE-PROJECTION BINDING_AXIS_PIN=substrate-natural-binding # S91-VII-AU-FIRST-EXTRACTION-PARAMETERIZATION 4-axis pin compliance (substrate-first-canonical-sourcing.md §(iv) K=4 MANDATORY)
S91-VII-AU-OP-PROJ-FIRST-EXTRACTION-W7A74-CF-60-PRIMARY: PASS -- value='A;N_above_3=4/5;N_per_anchor=(3,3,3,0,3);truncation_consistent=True;max_drift=0.0000' scheme=Spearman-rank-ordering-on-W7a74-PRIMARY-evaluator-5-anchor-matrix convention=substrate-distance-1-pole-s3-OP-PROJ-FIRST-EXTRACTION L_max=12 audit_sha256=3ba0f34b9c04a7f0358dcb6ecbf34a3a2c2d7dde1884d9ab30c78e89c6fa4586 content_sha256=297fc1e2208f2c38060902a866889d7f011e4761e318d4bd5d1c3cd42b34e196 schema_version=S87+
# audit_sha256_short=3ba0f34b9c04a7f0 content_sha256_short=297fc1e2208f2c38 # S91-VII-AU-OP-PROJ-FIRST-EXTRACTION-W7A74-CF-60-PRIMARY dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-VII-AU-OP-PROJ-FIRST-EXTRACTION-W7A74-CF-60-PRIMARY 3-tuple annotation (S87 schema-v2)
